#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_441	22	64	17	70	6	57	22	20	21	21	27	16	20	27	34	21	13	17
OTU_442	14	6	13	15	14	12	5	6	8	7	11	5	9	14	12	8	11	20
OTU_443	9	4	1	1	2	1	6	2	2	4	2	3	6	2	4	3	0	1
OTU_444	12	6	6	3	6	7	5	9	6	7	2	4	7	1	9	3	8	9
OTU_445	2	6	3	3	2	3	4	2	5	2	5	3	4	11	15	10	5	7
OTU_446	3	1	11	0	0	0	1	0	0	0	0	1	4	2	2	3	2	5
OTU_447	3	4	4	3	9	6	0	6	3	2	2	1	8	8	0	2	7	4
OTU_448	3	2	1	6	4	0	9	4	4	11	3	2	10	14	3	1	7	3
OTU_449	1	1	1	1	0	2	2	1	1	2	1	1	2	5	2	3	1	4
OTU_45	0	0	0	1	0	0	5	2	1	2	1	3	2	1	0	1	0	0
OTU_450	0	1	4	0	0	3	4	0	1	0	5	0	1	4	3	0	0	8
OTU_451	0	1	1	0	2	1	1	0	0	1	0	0	0	5	3	1	1	0
OTU_452	0	3	1	0	0	1	0	0	1	0	0	2	2	0	1	1	1	0
OTU_453	1	7	0	4	0	0	1	0	1	1	1	1	0	2	2	3	0	2
OTU_454	2	3	0	2	0	3	1	1	0	3	0	0	2	0	1	0	1	1
OTU_455	0	3	2	1	0	2	0	8	5	2	5	6	2	6	5	2	5	2
OTU_456	2	2	1	1	1	4	4	0	0	0	2	1	0	4	1	8	3	0
OTU_459	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8
OTU_460	3	6	3	3	0	0	5	6	5	5	5	8	4	4	2	7	3	10
OTU_461	1	1	5	3	12	8	6	3	6	3	1	4	9	6	5	7	6	4
OTU_462	0	4	0	3	0	2	4	0	3	6	2	3	1	0	5	5	1	2
OTU_463	0	1	1	0	2	0	3	15	1	0	3	4	0	0	1	0	0	1
OTU_465	1	3	0	0	0	1	6	0	2	2	1	2	0	0	2	2	0	0
OTU_467	3	2	0	5	0	2	3	1	3	3	1	2	1	3	2	0	3	0
OTU_468	1	6	3	2	4	6	8	3	1	1	3	5	5	3	5	0	5	2
OTU_469	0	7	0	8	3	9	8	2	1	1	4	2	3	1	3	1	1	1
OTU_47	16	6	0	11	1	6	14	4	2	5	11	10	5	2	5	6	1	7
OTU_470	0	0	1	2	0	0	1	0	1	2	2	1	5	1	0	1	0	0
